,Code,year,month,CO2Value,Name,Country,Latitude,Longitude,Elevation (meters),Time from GMT
0,ABP,2006,10,380.72,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
1,ABP,2006,11,380.82,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
2,ABP,2006,12,380.92,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
3,ABP,2007,13,81.02,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
4,ABP,2007,23,81.09,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
5,ABP,2007,33,80.99,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
6,ABP,2007,43,80.89,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
7,ABP,2007,53,81.15,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
8,ABP,2007,63,81.82,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
9,ABP,2007,73,82.26,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
10,ABP,2007,83,82.19,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
11,ABP,2007,93,82.34,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
12,ABP,2008,33,83.02,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
13,ABP,2008,43,82.64,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
14,ABP,2008,53,82.83,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
15,ABP,2008,63,83.83,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
16,ABP,2008,73,84.34,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
17,ABP,2008,83,84.20,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
18,ABP,2008,93,84.77,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
19,ABP,2008,10,385.46,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
20,ABP,2008,11,385.64,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
21,ABP,2008,12,385.56,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
22,ABP,2009,13,84.85,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
23,ABP,2009,23,85.28,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
24,ABP,2009,33,86.19,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
25,ABP,2009,43,85.20,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
26,ABP,2009,53,84.39,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
27,ABP,2009,63,85.18,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
28,ABP,2009,73,85.67,"Arembepe, Bahia",Brazil,-12.77,-38.17,1.0,-3 hours
